Category Name,SubCategory Name,Code Name,Interested
,,,
active,ATV Rentals/Tours,atvrentals,1
active,Airsoft,airsoft,1
active,Amateur Sports Teams,amateursportsteams,1
active,Amusement Parks,amusementparks,1
active,Aquariums,aquariums,1
active,Archery,archery,1
active,Axe Throwing,axethrowing,1
active,Badminton,badminton,1
active,Baseball Fields,baseballfields,1
active,Basketball Courts,basketballcourts,1
active,Bathing Area,bathing_area,1
active,Batting Cages,battingcages,1
active,Beach Equipment Rentals,beachequipmentrental,1
active,Beach Volleyball,beachvolleyball,1
active,Beaches,beaches,1
active,Bicycle Paths,bicyclepaths,1
active,Bike Parking,bikeparking,1
active,Bike Rentals,bikerentals,1
active,Boating,boating,1
active,Bobsledding,bobsledding,1
active,Bocce Ball,bocceball,1
active,Bowling,bowling,1
active,Bubble Soccer,bubblesoccer,1
active,Bungee Jumping,bungeejumping,1
active,Canyoneering,canyoneering,1
active,Carousels,carousels,1
active,Challenge Courses,challengecourses,1
active,Climbing,climbing,1
active,Cycling Classes,cyclingclasses,1
active,Dart Arenas,dartarenas,1
active,Day Camps,daycamps,1
active,Disc Golf,discgolf,1
active,Diving,diving,1
active,Free Diving,freediving,1
active,Scuba Diving,scuba,1
active,Escape Games,escapegames,1
active,Experiences,experiences,1
active,Fencing Clubs,fencing,1
active,Fishing,fishing,1
active,Fitness & Instruction,fitness,1
active,Aerial Fitness,aerialfitness,1
active,Barre Classes,barreclasses,1
active,Boot Camps,bootcamps,1
active,Boxing,boxing,1
active,Cardio Classes,cardioclasses,1
active,Dance Studios,dancestudio,1
active,EMS Training,emstraining,1
active,Golf Lessons,golflessons,1
active,Gyms,gyms,1
active,Circuit Training Gyms,circuittraininggyms,1
active,Interval Training Gyms,intervaltraininggyms,1
active,Martial Arts,martialarts,1
active,Brazilian Jiu-jitsu,brazilianjiujitsu,1
active,Chinese Martial Arts,chinesemartialarts,1
active,Karate,karate,1
active,Kickboxing,kickboxing,1
active,Muay Thai,muaythai,1
active,Taekwondo,taekwondo,1
active,Meditation Centers,meditationcenters,1
active,Pilates,pilates,1
active,Qi Gong,qigong,1
active,Self-defense Classes,selfdefenseclasses,1
active,Swimming Lessons/Schools,swimminglessons,1
active,Tai Chi,taichi,1
active,Trainers,healthtrainers,1
active,Yoga,yoga,1
active,Flyboarding,flyboarding,1
active,Gliding,gliding,1
active,Go Karts,gokarts,1
active,Golf,golf,1
active,Gun/Rifle Ranges,gun_ranges,1
